ID;Start Date;End Date;Display Date;Title;City;Venue;Type;Org. Body;# of Cat. Entries;# of Artists;Status
1085;1904-12-01;1905-01-05;;Exposition De Peintures, Pastels, Aquarelles, Dessins & Croquis;Paris;Galerie B. Weill;group;Galerie B. Weill;83;9;proof read
999;1904-12-19;1905-01-19;;[VII. Jahrgang. III. Ausstellung];Berlin;Paul Cassirer;group;Paul Cassirer;82;6;proof read
998;1905-00-00;;;Oxford. William Nicholson;London;Stafford Gallery;solo;Stafford Gallery;24;1;proof read
1332;1905-01-00;1905-02-00;;[2. Amateur-Kunstausstellung im Hagenbund];Vienna;Räume des Künstlerbundes Hagen - Zedlitzgasse;group;Künstlerbund Hagen / Hagenbund;0;0;pending
1077;1905-01-00;;;Szinyei Merse Pál műveinek gyűjteményes kiállítása;Budapest;Nemzeti Szalon;solo;Nemzeti Szalon;96;2;proof read
4;1905-01-00;1905-02-00;Jan-Feb 1905;XXII. Ausstellung der Vereinigung bildend. Künstler Österreichs Secession. Plastik-Ausstellung;Vienna;Gebäude der Secession;group;Vereinigung bildender Künstler Österreichs Secession;88;0;proof read
1080;1905-01-15;1905-02-07;;Exposition de l'œuvre du peintre Gaston Prunier;Paris;Galeries Serrurier;solo;Galeries Serrurier;134;1;proof read
1186;1905-01-16;;;Constantin Somoff, William Degouve de Nuncques, Madame Degouve-Massin;Vienna;Galerie Miethke;group;Galerie Miethke;0;0;pending
5;1905-01-16;1905-02-15;;Exposition de Peintures et Dessins;Paris;Galerie B. Weill;group;Galerie B. Weill;70;5;proof read
6;1905-01-16;;;"Выставка картин ""Союз Русских Художников""";Saint Petersburg;Saint Petersburg (exact location unknown);group;;0;0;pending
1000;1905-01-20;1905-02-20;;VII. Jahrgang. Winter 1904/1905. IV. Ausstellung.;Berlin;Paul Cassirer;group;Paul Cassirer;69;5;proof read
1119;1905-02-00;1905-03-00;;Hagenbund. Vierzehnte Ausstellung;Vienna;Räume des Künstlerbundes Hagen - Zedlitzgasse;group;Künstlerbund Hagen / Hagenbund;384;1;proof read
1078;1905-02-00;;;Olgyay Ferenc műveinek gyűjteményes kiállítása;Budapest;Nemzeti Szalon;solo;Nemzeti Szalon;92;1;proof read
7;1905-02-05;1905-03-12;;Edvard Munch. XV. výstava Spolku výtvarn. umělců »Manes« v Praze;Prague;Pavilon v zahradě Kinských;solo;Spolek výtvarných umělců Mánes;121;1;proof read
9;1905-02-10;1905-02-25;;Exposition d'Oeuvres de Picabia;Paris;Galerie Haussmann;solo;Galerie Haussmann;61;1;proof read
8;1905-02-10;1905-02-25;;Première exposition d'Ensemble d'Intimistes (Peintres d'Intérieurs);Paris;Galeries Henry Graves and Co Ltd.;group;Galeries Henry Graves and Co Ltd.;60;20;proof read
10;1905-02-21;1905-03-23;;La Libre Esthétique. La douzième Exposition;Brussels;Brussels (exact location unknown);group;La Libre Esthétique;223;37;proof read
1001;1905-02-22;1905-03-24;;VII. Jahrgang. Winter 1904/1905. V. Ausstellung. [Collection Jozef Israëls];Berlin;Paul Cassirer;group;Paul Cassirer;81;5;proof read
11;1905-02-22;;;"Выставка картин ""Союз Русских Художников""";Moscow;Moscow (exact location unknown);group;;335;39;proof read
12;1905-02-25;1905-03-06;;Exposition d'Œuvres des Peintres Trachsel, Gérardin, Picasso;Paris;Galeries Serrurier;group;Galeries Serrurier;75;3;proof read
13;1905-02-25;1905-03-25;;Exposition de Dessins, Aquarelles & Peintures;Paris;Galerie B. Weill;group;Galerie B. Weill;57;5;proof read
1187;1905-03-00;1905-04-00;;Emil Orlik;Vienna;Galerie Miethke;solo;Galerie Miethke;0;0;pending
960;1905-03-00;;;"Frühjahr-Ausstellung des Vereins bildender Künstler Münchens ""Sezession""";Munich;Königliches Kunstausstellungsgebäude am Königsplatz;group;"Verein bildender Künstler Münchens ""Secession""";376;127;proof read
1120;1905-03-00;1905-06-00;march-june 1905;Hagenbund. XV. Ausstellung;Vienna;Räume des Künstlerbundes Hagen - Zedlitzgasse;group;Künstlerbund Hagen / Hagenbund;199;33;proof read
1022;1905-03-00;;;Water Colour Drawings by Alfred W. Rich;London;Galleries of the Alpine Club;solo;Galleries of the Alpine Club;144;1;proof read
14;1905-03-00;1905-05-00;;XXIII. Ausstellung der Vereinigung Bildend. Künstler Österreichs Secession;Vienna;Gebäude der Secession;group;Vereinigung bildender Künstler Österreichs Secession;180;50;proof read
15;1905-03-03;;;XII-я Выставка Картин Московскаго Т-ва Художников в Москве 1905 г.;Moscow;Исторический музей;group;;254;52;proof read
17;1905-03-08;1905-05-21;Spring 1905;Tavaszi nemzetközi kiállítás;Budapest;Műcsarnok;group;Országos Magyar Képzőművészeti Társulat;644;233;proof read
16;1905-03-10;1905-03-25;;Exposition Seyssaud;Paris;MM. Bernheim-Jeune & Cie;solo;MM. Bernheim-Jeune & Cie;36;1;proof read
21;1905-03-15;1905-06-30;;XVe Exposition;Paris;Grand Palais des Champs Elysées;group;;0;0;pending
989;1905-03-20;;;Old and Modern Pictures;Vienna;Galerie Miethke;group;Galerie Miethke;18;16;proof read
